t,x,y,yaw,v,w,v_cmd,w_cmd,v_nav,w_nav,velocity_violation
3.426,1.2632813379730944e-07,4.808189855163084e-12,1.4878499302340737e-08,0.0,0.0,0.011000000000000001,0.0,0.011000000000000001,0.0,False
3.426,1.2632813379730944e-07,4.808189855163084e-12,1.4878499302340737e-08,0.0,0.0,0.011000000000000001,0.0,0.011000000000000001,0.0,False
3.434,1.2632813379730944e-07,4.808189855163084e-12,1.4878499302340737e-08,0.0,0.0,0.011000000000000001,0.0,0.011000000000000001,0.0,False
3.468,0.0004399985271359343,-8.399215079252965e-14,-9.126170554643262e-13,0.01099998775106602,-5.726337882943689e-10,0.022000000000000002,0.0,0.011000000000000001,0.0,False
3.5,0.0006599985275685843,3.693023787428846e-14,1.9734541710718956e-13,0.0110000000216325,5.549812394923235e-11,0.022000000000000002,0.0,0.011000000000000001,0.0,False
3.534,0.00114399752868162,9.670524812638408e-12,8.782019109541216e-11,0.01319995003906348,4.334976164399709e-09,0.033,0.0,0.022000000000000002,0.0,False
3.568,0.0020239970496616438,4.996282114936903e-13,4.314140178303946e-12,0.021999992975652468,-6.097693736489037e-10,0.044000000000000004,0.0,0.033,0.0,False
3.6,0.0026399958811045114,2.6415161543114883e-12,2.3707315692772082e-11,0.03079994157214338,9.696587615151426e-10,0.044000000000000004,0.0,0.033,0.0,False
3.634,0.004113994484702527,1.9862057052335853e-12,1.7487920384294203e-11,0.04069994638441947,4.2818324637338735e-10,0.05500000000000001,0.0,0.044000000000000004,0.0,False
3.668,0.0059399932066097035,2.800712355602031e-12,2.4594274783205405e-11,0.04729995608069867,1.0216464830294656e-09,0.066,0.0,0.05500000000000001,0.0,False
3.7,0.007039992694867406,2.3034644645946702e-12,1.9797418677860315e-11,0.05499997441288512,-2.398428040916757e-10,0.066,0.0,0.066,0.0,False
3.734,0.00943799139036692,2.9191060111169962e-12,2.4827869930611985e-11,0.06489993920351456,8.422820637975876e-10,0.077,0.0,0.066,0.0,False
3.768,0.012187990146766326,2.610638957921804e-12,2.1250254512601094e-11,0.07149995141683624,4.414974716517679e-10,0.088,0.0,0.077,0.0,False
3.8,0.013727989645794298,1.1050687882034823e-12,7.041129609300549e-12,0.07699997495139858,-7.104562425153506e-10,0.088,0.0,0.088,0.0,False
3.8360000000000003,0.017115988209189692,2.9386303133018116e-12,2.251463477991539e-11,0.0879999745612925,-2.486227220735611e-10,0.09899999999999999,0.0,0.088,0.0,False
3.8680000000000003,0.020789987070873237,3.1958929930858353e-12,2.36915205378867e-11,0.09569994490833608,6.230978057873921e-10,0.10999999999999999,0.0,0.09899999999999999,0.0,False
3.9,0.02276998669904684,1.8300383077772838e-12,1.0501738319069952e-11,0.09899998140868017,-6.594890930420759e-10,0.12099999999999998,0.0,0.10999999999999999,0.0,False
3.934,0.027081985239547638,2.5447720250082046e-12,1.5053413091572398e-11,0.10999997772973313,-7.248094594132504e-10,0.12099999999999998,0.0,0.12099999999999998,0.0,False
3.968,0.03181198378217892,2.9005566180479904e-12,1.576642642987861e-11,0.1209999754924052,-7.256164464215277e-10,0.13199999999999998,0.0,0.12099999999999998,0.0,False
4.0,0.0342539830955155,1.4353333010191459e-12,1.5882877096959346e-12,0.12209996566682894,-7.089069331962751e-10,0.143,0.0,0.13199999999999998,0.0,False
4.034,0.03953398233104467,3.939975939841234e-12,2.1637516075863503e-11,0.1319999917428958,-5.563590549633596e-10,0.143,0.0,0.143,0.0,False
4.068,0.045187980898718595,3.945378505023471e-12,1.889312915834084e-11,0.1429999805918226,-6.451049153958881e-10,0.154,0.0,0.143,0.0,False
4.1,0.0481139800438398,6.378413186003498e-12,3.9550010131351087e-11,0.14629995725606026,1.032844206753751e-09,0.165,0.0,0.154,0.0,False
4.134,0.054273979463149574,4.90385846567387e-12,2.294565017993398e-11,0.15399999573577627,-6.134964633747533e-10,0.165,0.0,0.165,0.0,False
4.168,0.060851978018289135,5.346851134034309e-12,2.3651731423223873e-11,0.1649999867479712,-5.838299675387784e-10,0.17600000000000002,0.0,0.17600000000000002,0.0,False
