sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
7,180000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007333,0.000000,0.007333,0.000000,0,-0.000000,0.007333,0.000000,0.020000,-0.020000,0.220000
7,200000000,0.000044,0.000000,0.000000,0.002194,0.000000,0.007333,0.000000,0.014667,0.000000,0.014667,0.000000,0,-0.000000,0.014667,0.000000,0.020000,-0.020000,0.220000
7,240000000,0.000337,0.000000,0.000000,0.007333,0.000000,0.014667,0.000000,0.022000,0.000000,0.022000,0.000000,0,-0.000000,0.022000,0.007333,0.020000,-0.020000,0.220000
7,260000000,0.000616,0.000000,0.000000,0.013933,0.000000,0.022000,0.000000,0.029333,0.000000,0.029333,0.000000,0,-0.000000,0.029333,0.014667,0.020000,-0.020000,0.220000
7,280000000,0.001027,0.000000,0.000000,0.020533,0.000000,0.029333,0.000000,0.036667,0.000000,0.036667,0.000000,0,-0.000000,0.036667,0.022000,0.020000,-0.020000,0.220000
7,320000000,0.002244,0.000000,0.000000,0.031533,0.000000,0.036667,0.000000,0.044000,0.000000,0.044000,0.000000,0,-0.000000,0.044000,0.029333,0.020000,-0.020000,0.220000
7,340000000,0.002977,0.000000,0.000000,0.036667,0.000000,0.044000,0.000000,0.051333,0.000000,0.051333,0.000000,0,-0.000000,0.051333,0.036667,0.020000,-0.020000,0.220000
7,380000000,0.004708,0.000000,0.000000,0.049867,0.000000,0.051333,0.000000,0.058667,0.000000,0.058667,0.000000,0,-0.000000,0.058667,0.044000,0.020000,-0.020000,0.220000
7,400000000,0.005735,0.000000,0.000000,0.051333,0.000000,0.058667,0.000000,0.066000,0.000000,0.066000,0.000000,0,-0.000000,0.066000,0.051333,0.020000,-0.020000,0.220000
7,420000000,0.006879,0.000000,0.000000,0.057200,0.000000,0.066000,0.000000,0.073333,0.000000,0.073333,0.000000,0,-0.000000,0.073333,0.058667,0.020000,-0.020000,0.220000
7,460000000,0.009431,0.000000,0.000000,0.068933,0.000000,0.073333,0.000000,0.080667,0.000000,0.080667,0.000000,0,-0.000000,0.080667,0.066000,0.020000,-0.020000,0.220000
7,480000000,0.010897,0.000000,0.000000,0.073333,0.000000,0.080667,0.000000,0.088000,0.000000,0.088000,0.000000,0,-0.000000,0.088000,0.073333,0.020000,-0.020000,0.220000
