sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
97,980000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.339682,0.007333,0.319682,0.007333,0.319682,0,12.150624,0.007333,0.000000,0.359682,0.319682,0.220000
98,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.007333,0.319682,0.014667,0.299682,0.014667,0.299682,0,12.150624,0.014667,0.000000,0.339682,0.299682,0.220000
98,40000000,0.000198,-0.000002,0.000548,0.006595,0.018267,0.014667,0.299682,0.022000,0.279682,0.022000,0.279682,0,12.165410,0.022000,0.007333,0.319682,0.279682,0.220000
98,60000000,0.000428,-0.000008,0.000956,0.011531,0.020394,0.022000,0.279682,0.024592,0.299682,0.024592,0.299682,0,12.186029,0.029333,0.014667,0.299682,0.259682,0.220000
98,100000000,0.001220,-0.000014,0.002148,0.019787,0.029806,0.024592,0.299682,0.026079,0.319682,0.026079,0.319682,0,12.258291,0.031926,0.017259,0.319682,0.279682,0.220000
98,120000000,0.001662,-0.000017,0.003197,0.022119,0.052432,0.026079,0.319682,0.027631,0.339682,0.027631,0.339682,0,12.293315,0.033412,0.018746,0.339682,0.299682,0.220000
98,160000000,0.002571,-0.000022,0.005720,0.023326,0.073717,0.027631,0.339682,0.029097,0.359682,0.029097,0.359682,0,12.361410,0.034965,0.020298,0.359682,0.319682,0.220000
98,200000000,0.003537,-0.000026,0.008986,0.024820,0.087209,0.029097,0.359682,0.030555,0.379682,0.030555,0.379682,0,12.426309,0.036431,0.021764,0.379682,0.339682,0.220000
98,220000000,0.004060,-0.000026,0.010952,0.026179,0.098333,0.030555,0.379682,0.032081,0.399682,0.032081,0.399682,0,12.458593,0.037888,0.023221,0.399682,0.359682,0.220000
98,260000000,0.005144,-0.000025,0.015549,0.027494,0.122013,0.032081,0.399682,0.033527,0.419682,0.033527,0.419682,0,12.517850,0.039414,0.024747,0.419682,0.379682,0.220000
98,280000000,0.005694,-0.000022,0.017989,0.027496,0.122021,0.033527,0.419682,0.035045,0.439682,0.035045,0.439682,0,12.546152,0.040860,0.026193,0.439682,0.399682,0.220000
