sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1772479506,372306982,0.140461,-1.855071,2.499482,-1.413124,-0.408942,-1.327776,1,0.088317,-0.012585,0.095333,-0.017177,0.102667,-0.027410,0.102667,-0.027410,0,-0.266983,0.102667,0.088000,0.002823,-0.037177,0.220000
1772479506,397370558,0.139067,-1.851582,2.499517,-1.414254,-0.412525,-1.327741,1,0.095427,-0.008106,0.102667,-0.027410,0.110000,-0.007410,0.110000,-0.007410,0,-0.037192,0.110000,0.095333,-0.007410,-0.047410,0.220000
1772479506,447454117,0.134453,-1.847074,2.498446,-1.413537,-0.418936,-1.328811,1,0.102512,-0.033246,0.110000,-0.007410,0.117333,0.006347,0.117333,0.006347,0,0.054091,0.117333,0.102667,0.012590,-0.027410,0.220000
1772479506,472499308,0.132023,-1.847256,2.497712,-1.411541,-0.420333,-1.329545,1,0.110042,-0.007400,0.117333,0.006347,0.124667,-0.007518,0.124667,-0.007518,0,-0.060304,0.124667,0.110000,0.026347,-0.013653,0.220000
1772479506,497491108,0.130710,-1.844375,2.498053,-1.412350,-0.423394,-1.329205,1,0.117290,0.008844,0.124667,-0.007518,0.132000,0.005685,0.132000,0.005685,0,0.043065,0.132000,0.117333,0.012482,-0.027518,0.220000
1772479506,547572195,0.124578,-1.841168,2.498436,-1.409634,-0.429759,-1.328822,1,0.125293,-0.010681,0.132000,0.005685,0.139333,-0.003805,0.139333,-0.003805,0,-0.027309,0.139333,0.124667,0.025685,-0.014315,0.220000
1772479506,572564375,0.122324,-1.839375,2.498450,-1.409024,-0.432575,-1.328808,1,0.132652,0.002271,0.139333,-0.003805,0.146667,-0.002819,0.146667,-0.002819,0,-0.019218,0.146667,0.132000,0.016195,-0.023805,0.220000
1772479506,597625463,0.120198,-1.839072,2.497992,-1.407571,-0.434155,-1.329266,1,0.148038,0.000000,0.146667,-0.002819,0.154000,-0.007945,0.154000,-0.007945,0,-0.051591,0.154000,0.139333,0.017181,-0.022819,0.220000
1772479506,647701588,0.113213,-1.834122,2.497517,-1.405299,-0.442409,-1.329741,1,0.147188,-0.009071,0.154000,-0.007945,0.161333,-0.009162,0.161333,-0.009162,0,-0.056791,0.161333,0.146667,0.012055,-0.027945,0.220000
1772479506,672732040,0.112541,-1.832769,2.497088,-1.405635,-0.443882,-1.330169,1,0.153936,-0.002797,0.161333,-0.009162,0.168667,-0.003655,0.168667,-0.003655,0,-0.021673,0.168667,0.154000,0.010838,-0.029162,0.220000
1772479506,697727705,0.107657,-1.829643,2.497974,-1.403834,-0.449394,-1.329284,1,0.161334,-0.015613,0.168667,-0.003655,0.176000,-0.007082,0.176000,-0.007082,0,-0.040236,0.176000,0.161333,0.016345,-0.023655,0.220000
1772479506,747825502,0.100967,-1.824178,2.497033,-1.402117,-0.457860,-1.330225,1,0.168497,-0.013761,0.176000,-0.007082,0.183333,-0.003119,0.183333,-0.003119,0,-0.017015,0.183333,0.168667,0.012918,-0.027082,0.220000
