sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
24,260000000,0.047872,0.078416,0.354571,0.117529,0.412509,0.127173,0.500000,0.136929,0.500000,0.136929,0.500000,0.084019,0.082181,0.095714,0.083736,0.103092,0.090120,0.103092,0.090120,0,5.175238,0.120714,0.070714,0.108736,0.058736,0.500000,0.475000,0.311127,0.254346,0.928750,1
24,300000000,0.049918,0.082793,0.370964,0.121817,0.409531,0.136929,0.500000,0.148704,0.500000,0.148704,0.500000,0.087569,0.084681,0.103092,0.090120,0.111780,0.098072,0.111780,0.098072,0,4.816459,0.128092,0.078092,0.115120,0.065120,0.500000,0.475000,0.311127,0.273858,0.920813,1
24,340000000,0.052035,0.087512,0.387009,0.129890,0.400383,0.148704,0.500000,0.162321,0.500000,0.162321,0.500000,0.093389,0.090277,0.111780,0.098072,0.121707,0.107403,0.121707,0.107403,0,4.449577,0.136780,0.086780,0.123072,0.073072,0.500000,0.475000,0.311127,0.297409,0.916115,1
24,400000000,0.055355,0.095374,0.410393,0.147984,0.384849,0.162321,0.500000,0.180556,0.500000,0.180556,0.500000,0.106142,0.103118,0.121707,0.107403,0.135777,0.119017,0.135777,0.119017,0,4.060900,0.146707,0.096707,0.132403,0.082403,0.500000,0.475000,0.311127,0.324641,0.899006,1
24,440000000,0.057679,0.101177,0.425363,0.160781,0.369556,0.180556,0.500000,0.201734,0.500000,0.201734,0.500000,0.115707,0.111636,0.135777,0.119017,0.150915,0.133870,0.150915,0.133870,0,3.675311,0.160777,0.110777,0.144017,0.094017,0.500000,0.475000,0.311127,0.361112,0.895020,1
24,480000000,0.060157,0.107597,0.439694,0.175925,0.354514,0.201734,0.500000,0.226824,0.500000,0.226824,0.500000,0.126564,0.122193,0.150915,0.133870,0.168788,0.151525,0.168788,0.151525,0,3.311433,0.175915,0.125915,0.158870,0.108870,0.500000,0.475000,0.311127,0.403468,0.889385,1
24,520000000,0.062730,0.114654,0.453239,0.207746,0.321948,0.226824,0.500000,0.249633,0.500000,0.249633,0.500000,0.148018,0.145771,0.168788,0.151525,0.185481,0.167073,0.185481,0.167073,0,3.042155,0.193788,0.143788,0.176525,0.126525,0.500000,0.475000,0.311127,0.440000,0.881293,1
24,580000000,0.066909,0.126854,0.471825,0.227368,0.294870,0.249633,0.500000,0.254482,0.500000,0.254482,0.500000,0.162179,0.159356,0.185481,0.167073,0.191753,0.167307,0.191753,0.167307,0,2.988369,0.210481,0.160481,0.192073,0.142073,0.500000,0.475000,0.311127,0.440000,0.864502,1
24,620000000,0.069819,0.135591,0.483359,0.231340,0.284903,0.254482,0.500000,0.257383,0.500000,0.257383,0.500000,0.167015,0.160076,0.191753,0.167307,0.195572,0.167325,0.195572,0.167325,0,2.954996,0.216753,0.166753,0.192307,0.142307,0.500000,0.475000,0.311127,0.440000,0.854757,1
24,660000000,0.072825,0.144391,0.494486,0.232941,0.275882,0.257383,0.500000,0.260778,0.500000,0.260778,0.500000,0.170758,0.158440,0.195572,0.167325,0.199684,0.167724,0.199684,0.167724,0,2.923499,0.220000,0.170572,0.192325,0.142325,0.500000,0.475000,0.311127,0.440000,0.843630,1
