sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768312641,748978808,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008667,0.000000,0.008667,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.008667,0.000000,0.016667,-0.016667,0.260000
1768312641,781425308,-0.000001,0.000000,0.000000,0.000000,0.000000,0.008667,0.000000,0.017333,0.000000,0.017333,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.017333,0.000000,0.016667,-0.016667,0.260000
1768312641,814784976,-0.000001,0.000000,0.000000,0.000000,0.000000,0.017333,0.000000,0.026000,0.000000,0.026000,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.026000,0.008667,0.016667,-0.016667,0.260000
1768312641,847998901,0.000065,0.000000,0.000000,0.006600,0.000000,0.026000,0.000000,0.034667,0.000000,0.034667,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.034667,0.017333,0.016667,-0.016667,0.260000
1768312641,881480190,0.000727,0.000000,0.000000,0.024500,0.000000,0.034667,0.000000,0.043333,0.000000,0.043333,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.043333,0.026000,0.016667,-0.016667,0.260000
1768312641,914736207,0.001247,0.000000,0.000000,0.026000,0.000000,0.043333,0.000000,0.052000,0.000000,0.052000,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.052000,0.034667,0.016667,-0.016667,0.260000
1768312641,947870961,0.002625,0.000000,0.000000,0.039000,0.000000,0.052000,0.000000,0.060667,0.000000,0.060667,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.060667,0.043333,0.016667,-0.016667,0.260000
1768312641,981450385,0.003405,0.000000,0.000000,0.039000,0.000000,0.060667,0.000000,0.069333,0.000000,0.069333,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.069333,0.052000,0.016667,-0.016667,0.260000
1768312642,14659422,0.004341,0.000000,0.000000,0.051000,0.000000,0.069333,0.000000,0.078000,0.000000,0.078000,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.078000,0.060667,0.016667,-0.016667,0.260000
1768312642,48102718,0.006551,0.000000,0.000000,0.062900,0.000000,0.078000,0.000000,0.086667,0.000000,0.086667,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.086667,0.069333,0.016667,-0.016667,0.260000
1768312642,81169064,0.007851,0.000000,0.000000,0.065000,0.000000,0.086667,0.000000,0.095333,0.000000,0.095333,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.095333,0.078000,0.016667,-0.016667,0.260000
1768312642,114590108,0.010802,0.000000,0.000000,0.078000,0.000000,0.095333,0.000000,0.104000,0.000000,0.104000,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.104000,0.086667,0.016667,-0.016667,0.260000
1768312642,148048926,0.012505,0.000000,0.000000,0.089500,0.000000,0.104000,0.000000,0.112667,0.000000,0.112667,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.112667,0.095333,0.016667,-0.016667,0.260000
1768312642,181551508,0.016262,0.000000,0.000000,0.101200,0.000000,0.112667,0.000000,0.121333,0.000000,0.121333,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.121333,0.104000,0.016667,-0.016667,0.260000
1768312642,214509144,0.018342,0.000000,0.000000,0.104000,0.000000,0.121333,0.000000,0.130000,0.000000,0.130000,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.130000,0.112667,0.016667,-0.016667,0.260000
1768312642,248393953,0.022814,0.000000,0.000000,0.117000,0.000000,0.130000,0.000000,0.138667,0.000000,0.138667,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.138667,0.121333,0.016667,-0.016667,0.260000
1768312642,281325194,0.025154,0.000000,0.000000,0.117000,0.000000,0.138667,0.000000,0.147333,0.000000,0.147333,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.147333,0.130000,0.016667,-0.016667,0.260000
1768312642,314564327,0.030224,0.000000,0.000000,0.130000,0.000000,0.147333,0.000000,0.156000,0.000000,0.156000,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.156000,0.138667,0.016667,-0.016667,0.260000
1768312642,348260902,0.032902,0.000000,0.000000,0.137500,0.000000,0.156000,0.000000,0.164667,0.000000,0.164667,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.164667,0.147333,0.016667,-0.016667,0.260000
1768312642,381483396,0.038739,0.000000,0.000000,0.153200,0.000000,0.164667,0.000000,0.173333,0.000000,0.173333,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.173333,0.156000,0.016667,-0.016667,0.260000
1768312642,415025620,0.041859,0.000000,0.000000,0.156000,0.000000,0.173333,0.000000,0.182000,0.000000,0.182000,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.182000,0.164667,0.016667,-0.016667,0.260000
1768312642,448323229,0.045034,0.000000,0.000000,0.161500,0.000000,0.182000,0.000000,0.190667,0.000000,0.190667,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.190667,0.173333,0.016667,-0.016667,0.260000
1768312642,481349414,0.051895,0.000000,0.000000,0.178400,0.000000,0.190667,0.000000,0.199333,0.000000,0.199333,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.199333,0.182000,0.016667,-0.016667,0.260000
1768312642,514586432,0.055535,0.000000,0.000000,0.182000,0.000000,0.199333,0.000000,0.208000,0.000000,0.208000,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.208000,0.190667,0.016667,-0.016667,0.260000
1768312642,547880061,0.059292,0.000000,0.000000,0.192200,0.000000,0.208000,0.000000,0.216667,0.000000,0.216667,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.216667,0.199333,0.016667,-0.016667,0.260000
1768312642,581435367,0.067196,0.000000,0.000000,0.204400,0.000000,0.216667,0.000000,0.225333,0.000000,0.225333,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.225333,0.208000,0.016667,-0.016667,0.260000
1768312642,614572190,0.071356,0.000000,0.000000,0.208000,0.000000,0.225333,0.000000,0.234000,0.000000,0.234000,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.234000,0.216667,0.016667,-0.016667,0.260000
1768312642,648219711,0.079819,0.000000,0.000000,0.219500,0.000000,0.234000,0.000000,0.242667,0.000000,0.242667,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.242667,0.225333,0.016667,-0.016667,0.260000
1768312642,681648343,0.084239,0.000000,0.000000,0.221000,0.000000,0.242667,0.000000,0.251333,0.000000,0.251333,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.251333,0.234000,0.016667,-0.016667,0.260000
1768312642,714456880,0.093417,0.000000,0.000000,0.234000,0.000000,0.251333,0.000000,0.260000,0.000000,0.260000,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.260000,0.242667,0.016667,-0.016667,0.260000
1768312642,747958344,0.098214,0.000000,0.000000,0.247000,0.000000,0.260000,0.000000,0.260000,0.000000,0.260000,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.260000,0.251333,0.016667,-0.016667,0.260000
1768312642,781371365,0.108149,0.000000,0.000000,0.252500,0.000000,0.260000,0.000000,0.260000,0.000000,0.260000,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.260000,0.251333,0.016667,-0.016667,0.260000
1768312642,814414841,0.118546,0.000000,0.000000,0.260000,0.000000,0.260000,0.000000,0.260000,0.000000,0.260000,0.000000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000000,0.260000,0.251333,0.016667,-0.016667,0.260000
