sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768113816,93842592,0.338999,4.604849,-1.070906,4.428890,-2.586082,1.048466,0.609949,0.007503,-0.023212,0.000000,0.000000,0.000000,0.000000,0.830000,-0.010042,0.027667,-0.010042,1,25.200001,-0.000000,0.900000,1.182736,0.081403,9.567230,0.020107,-0.003995,0.000932,-0.012099,0.027667,0.000000,0.033333,-0.033333,0.830000
1768113816,126810796,0.338999,4.604849,-1.070906,4.427835,-2.583303,1.048531,0.608045,0.009544,-0.023012,0.000000,0.000000,0.830000,-0.010042,0.830000,-0.014447,0.830000,-0.014447,0,25.200001,-0.000000,0.900000,1.359907,0.067038,9.639056,0.021971,-0.005859,-0.004394,-0.017406,0.830000,0.802333,0.023292,-0.043375,0.830000
1768113816,160411396,0.338999,4.604849,-1.070906,4.427835,-2.583303,1.048531,0.608045,0.009544,-0.023012,0.000000,0.000000,0.830000,-0.014447,0.830000,-0.022489,0.830000,-0.022489,0,25.200001,-0.000000,0.900000,1.096544,0.131681,9.624691,0.009454,-0.005726,-0.003862,-0.027096,0.830000,0.802333,0.018886,-0.047780,0.830000
1768113816,193091935,0.338999,4.604849,-1.070906,4.427835,-2.583303,1.048531,0.608045,0.009544,-0.023012,0.000000,0.000000,0.830000,-0.022489,0.830000,-0.022489,0.830000,-0.022489,0,25.200001,-0.000000,0.900000,1.165976,0.198719,9.610325,0.010786,-0.013982,0.002530,-0.027096,0.830000,0.802333,0.010844,-0.055823,0.830000
1768113816,227167541,0.338999,4.604849,-1.070906,4.432692,-2.585438,1.048497,0.613722,0.008075,-0.023196,0.000000,0.000000,0.830000,-0.022489,0.830000,-0.020942,0.830000,-0.020942,0,25.200001,-0.000000,0.900000,1.405396,-0.124498,9.701305,0.027431,0.002397,0.004394,-0.025231,0.830000,0.802333,0.010844,-0.055823,0.830000
1768113816,249828763,0.338999,4.604849,-1.070906,4.432692,-2.585438,1.048497,0.613722,0.008075,-0.023196,0.000000,0.000000,0.830000,-0.020942,0.830000,-0.014188,0.830000,-0.014188,0,25.200001,-0.000000,0.900000,0.768539,0.488417,9.308656,0.022104,0.040081,-0.008256,-0.017094,0.830000,0.802333,0.012391,-0.054275,0.830000
1768113816,283335390,0.339062,4.604733,-1.070906,4.432356,-2.585430,1.048497,0.613722,0.008075,-0.023196,0.013251,0.000000,0.830000,-0.014188,0.830000,-0.014188,0.830000,-0.014188,0,25.200001,-0.000000,0.900000,2.011129,0.229843,8.133103,0.007324,-0.216515,0.002796,-0.017094,0.830000,0.802333,0.019145,-0.047521,0.830000
1768113816,336913036,0.339824,4.603337,-1.071440,4.432432,-2.583810,1.048839,0.615026,0.008311,-0.023382,0.059625,-0.026718,0.830000,-0.014188,0.830000,-0.014182,0.830000,-0.014182,0,25.200001,-0.000000,0.900000,4.733337,0.454898,9.696517,-0.004394,0.041945,0.000666,-0.017087,0.830000,0.802333,0.019145,-0.047521,0.830000
1768113816,360103385,0.341315,4.600603,-1.071707,4.429975,-2.582717,1.049106,0.615026,0.008311,-0.023382,0.079501,0.000000,0.830000,-0.014182,0.830000,-0.015429,0.830000,-0.015429,0,25.200001,-0.000000,0.900000,2.688688,0.141258,9.205705,0.004661,0.289352,-0.047537,-0.018589,0.830000,0.802333,0.019151,-0.047516,0.830000
1768113816,393857572,0.342868,4.597753,-1.071974,4.428215,-2.581641,1.049373,0.615026,0.008311,-0.023382,0.112625,-0.026718,0.830000,-0.015429,0.830000,-0.015416,0.830000,-0.015416,0,25.200001,-0.000000,0.900000,1.900996,-0.038307,8.473080,0.033290,-0.166847,-0.035287,-0.018573,0.830000,0.802333,0.017904,-0.048763,0.830000
1768113816,426953393,0.345593,4.592749,-1.071974,4.427573,-2.572761,1.051434,0.616482,0.009346,-0.021695,0.165626,0.026712,0.830000,-0.015416,0.830000,-0.022416,0.830000,-0.022416,0,25.200001,-0.000000,0.900000,0.778116,-0.143652,8.520964,0.022104,-0.103197,0.009721,-0.027007,0.830000,0.802333,0.017918,-0.048749,0.830000
1768113816,480098214,0.348412,4.587571,-1.072776,4.422063,-2.570890,1.051887,0.616482,0.009346,-0.021695,0.192728,-0.048578,0.830000,-0.022416,0.830000,-0.026713,0.830000,-0.026713,0,25.200001,-0.000000,0.900000,1.623269,0.615310,10.632650,0.019441,-0.018109,-0.021039,-0.032185,0.830000,0.802333,0.010918,-0.055749,0.830000
1768113816,492470250,0.351575,4.581749,-1.073310,4.418551,-2.566605,1.052978,0.616482,0.009346,-0.021695,0.238499,0.000000,0.830000,-0.026713,0.830000,-0.027460,0.830000,-0.027460,0,25.200001,-0.000000,0.900000,2.722207,0.469264,8.339004,0.009188,-0.104662,-0.023303,-0.033084,0.830000,0.802333,0.006620,-0.060046,0.830000
1768113816,526806781,0.356436,4.572779,-1.074913,4.425453,-2.570451,1.051020,0.639951,0.012875,-0.024515,0.255063,-0.040068,0.830000,-0.027460,0.830000,-0.031855,0.830000,-0.031855,0,25.200001,-0.000000,0.900000,2.102109,-0.086191,11.338939,0.058057,-0.031558,-0.032890,-0.038380,0.830000,0.802333,0.005874,-0.060793,0.830000
1768113816,570206277,0.360503,4.565263,-1.075180,4.418474,-2.566253,1.052068,0.639951,0.012875,-0.024515,0.271624,-0.026712,0.830000,-0.031855,0.830000,-0.045646,0.830000,-0.045646,0,25.200001,-0.000000,0.900000,1.584961,0.572214,7.460332,-0.014914,-0.236888,-0.034754,-0.054995,0.830000,0.802333,0.001478,-0.065189,0.830000
1768113816,593564177,0.365066,4.556809,-1.076516,4.413297,-2.563050,1.052869,0.639951,0.012875,-0.024515,0.337874,-0.080142,0.830000,-0.045646,0.830000,-0.033217,0.830000,-0.033217,0,25.200001,-0.000000,0.900000,2.489970,0.031125,11.312603,-0.015713,-0.190815,-0.035686,-0.040020,0.830000,0.802333,-0.012313,-0.078979,0.830000
1768113816,616274362,0.368145,4.551094,-1.077050,4.420784,-2.564698,1.052010,0.664566,0.013919,-0.027029,0.317999,-0.053424,0.830000,-0.033217,0.830000,-0.039308,0.830000,-0.039308,0,25.200001,-0.168000,0.900000,1.362301,0.177171,8.461109,-0.011185,-0.119842,-0.031825,-0.047359,0.830000,0.802333,0.000116,-0.066550,0.830000
1768113816,650040741,0.375200,4.537962,-1.078386,4.416152,-2.562875,1.052454,0.664566,0.013919,-0.027029,0.370998,0.000000,0.830000,-0.039308,0.830000,-0.027770,0.830000,-0.027770,0,25.200001,-0.168000,0.900000,2.978387,0.284910,10.029311,-0.039015,0.015979,-0.036618,-0.033458,0.830000,0.802333,-0.005974,-0.072641,0.830000
1768113816,683567565,0.380733,4.527624,-1.080256,4.406712,-2.555804,1.054239,0.664566,0.013919,-0.027029,0.404126,-0.080142,0.830000,-0.027770,0.830000,-0.021719,0.830000,-0.021719,0,25.200001,-0.168000,0.900000,2.303222,-0.220267,7.967903,-0.021305,-0.134889,-0.050467,-0.026168,0.830000,0.802333,0.005563,-0.061103,0.830000
1768113816,716436744,0.386656,4.516517,-1.081324,4.399634,-2.552231,1.055127,0.664566,0.013919,-0.027029,0.410752,0.000000,0.830000,-0.021719,0.830000,-0.021262,0.830000,-0.021262,0,25.200001,-0.168000,0.900000,1.505953,0.347159,9.921572,0.086153,0.034355,-0.052464,-0.025617,0.830000,0.802333,0.011614,-0.055053,0.830000
1768113816,760257685,0.399614,4.492104,-1.084213,4.405845,-2.556478,1.054129,0.705067,0.012786,-0.031179,0.491478,-0.048476,0.830000,-0.021262,0.830000,-0.004156,0.830000,-0.004156,0,25.200001,-0.168000,0.900000,2.238579,0.002394,9.081207,-0.043276,0.220643,-0.032624,-0.005007,0.830000,0.802333,0.012071,-0.054596,0.830000
1768113816,813693798,0.406453,4.479159,-1.085015,4.391653,-2.551211,1.055407,0.705067,0.012786,-0.031179,0.516750,0.000000,0.830000,-0.004156,0.830000,-0.003660,0.830000,-0.003660,0,25.200001,-0.168000,0.900000,3.112462,0.000000,9.524134,-0.046339,0.006258,-0.022237,-0.004409,0.830000,0.802333,0.029177,-0.037489,0.830000
1768113816,825081191,0.411212,4.470134,-1.086083,4.416191,-2.563970,1.052186,0.744825,0.011405,-0.034713,0.516749,-0.053430,0.830000,-0.003660,0.830000,0.000769,0.830000,0.000769,0,25.200001,-0.168000,0.900000,1.740585,-0.229843,9.483433,0.007590,-0.050467,0.002663,0.000926,0.830000,0.802333,0.029673,-0.036993,0.830000
1768113816,859942188,0.421297,4.450960,-1.086885,4.392248,-2.556225,1.054030,0.744825,0.011405,-0.034713,0.556500,0.000000,0.830000,0.000769,0.830000,0.004881,0.830000,0.004881,0,25.200001,-0.926000,0.900000,3.282450,0.282516,11.176133,-0.008256,-0.057791,-0.007324,0.005881,0.830000,0.802333,0.034102,-0.032565,0.830000
1768113816,893575410,0.429114,4.436059,-1.087953,4.384999,-2.555048,1.054278,0.744825,0.011405,-0.034713,0.569750,0.000000,0.830000,0.004881,0.830000,0.005158,0.830000,0.005158,0,25.200001,-0.926000,0.900000,1.477222,0.869095,8.032547,0.056725,0.033423,-0.019707,0.006215,0.830000,0.802333,0.038214,-0.028452,0.830000
1768113816,927025832,0.437253,4.420503,-1.089289,4.416148,-2.561241,1.052989,0.800447,0.009183,-0.036904,0.569750,-0.053424,0.830000,0.005158,0.830000,0.007830,0.830000,0.007830,0,25.200001,-0.926000,0.900000,2.542642,-0.366313,10.833763,0.018243,-0.137685,0.009055,0.009434,0.830000,0.802333,0.038492,-0.028175,0.830000
1768113816,960213685,0.445938,4.403888,-1.089022,4.402214,-2.560836,1.052959,0.800447,0.009183,-0.036904,0.629376,0.026715,0.830000,0.007830,0.830000,0.011072,0.830000,0.011072,0,25.200001,-0.926000,0.900000,1.558625,-0.284910,8.925584,0.046073,0.186288,0.000266,0.013339,0.830000,0.802333,0.041163,-0.025503,0.830000
1768113816,993617450,0.457991,4.380809,-1.089823,4.375801,-2.555916,1.054030,0.800447,0.009183,-0.036904,0.695625,0.026713,0.830000,0.011072,0.830000,0.010873,0.830000,0.010873,0,25.200001,-0.926000,0.900000,3.222595,-0.337582,11.918336,0.045540,-0.052464,-0.026099,0.013100,0.830000,0.802333,0.044405,-0.022262,0.830000
1768113817,36646375,0.467392,4.362773,-1.090624,4.413561,-2.552707,1.054901,0.860258,0.008544,-0.036334,0.682376,-0.026710,0.830000,0.010873,0.830000,0.011126,0.830000,0.011126,0,25.200001,-0.926000,0.900000,1.276109,0.045490,10.716447,0.017444,-0.280963,0.003862,0.013405,0.830000,0.802333,0.044207,-0.022460,0.830000
1768113817,49670235,0.477218,4.343913,-1.090357,4.394447,-2.552661,1.054722,0.860258,0.008544,-0.036334,0.722125,0.026712,0.830000,0.011126,0.830000,0.009432,0.830000,0.009432,0,25.200001,-0.926000,0.900000,2.576161,-0.088585,10.450690,0.008389,-0.143811,0.023436,0.011364,0.830000,0.802333,0.044459,-0.022207,0.830000
