sec,nsec,x,y,yaw,v_real,w_real,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz
1765759210.702817,702816751,-9.722013169255216e-18,-2.218316682447528e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,25.200000762939453,-0.28700000047683716,0.8700000047683716,0.8906430175781249,0.29927520751953124,9.234435803222656,0.01344896350490015,-0.005725796343670361,-0.0015978966540475428
1765759210.7301219,730121633,-9.722013169255216e-18,-2.218316682447528e-16,0.0,0.0,0.0,0.5,1.9258970835334478e-16,0.025,1.9258970835334478e-16,False,25.200000762939453,-0.28700000047683716,0.8700000047683716,1.0342951171875,-0.028730419921875,9.715670336914062,0.015180018213451656,0.020639498448114094,-0.0066579027251980945
1765759210.9663973,966397286,-9.722013169255216e-18,-2.218316682447528e-16,0.0,0.0,0.0,0.5,1.9258970835334478e-16,0.025,1.9258970835334478e-16,False,25.200000762939453,-0.28700000047683716,0.8700000047683716,1.1611878051757811,-0.07422025146484375,9.823409411621093,0.02090581455712202,-0.041012680787220264,0.004527373853134705
1765759211.219128,219127887,9.722013169255216e-18,2.218316682447528e-16,0.0,0.07949976623058319,3.184522351910991e-06,0.5,0.0007713658249730523,0.15,0.0011496668999084456,False,25.200000762939453,-0.28600001335144043,0.8700000047683716,1.5346832641601562,0.16998831787109375,11.789048974609374,0.04048004856920442,-0.17883126719882086,-0.033289513625990474
1765759211.3043556,304355598,0.0,0.0,0.0,0.2517487332224846,-4.7767835278664866e-06,0.5,0.0031610435444544616,0.27499999999999997,0.0027735370557098542,False,25.200000762939453,-0.35899999737739563,0.8700000047683716,0.25139117431640623,-0.047884033203124995,10.596736547851561,-0.0009321063815277333,-0.01344896350490015,-0.003994741635118857
1765759211.377642,377641666,0.0,0.0,0.0,0.2716250568628311,-0.026714958010181304,0.5,0.0032388932270303677,0.325,0.0031971665406561045,False,25.200000762939453,-0.4779999852180481,0.8700000047683716,0.5602431884765625,-0.19871873779296872,12.023680737304687,0.03222424918995878,-0.12463593901570835,-0.0010652644360316951
1765759211.3877354,387735339,0.0,0.0,0.0,0.32462476938962936,-0.08014009724701604,0.5,0.004156960902783994,0.35000000000000003,0.004440592207974985,False,25.200000762939453,-0.4779999852180481,0.8700000047683716,1.5514426757812498,-0.05985504150390625,9.627084875488281,0.01731054708551505,0.14434333108229472,0.007590009106725828
1765759211.5183702,518369924,0.0,0.0,0.0,0.3643752448260784,-0.08014089337760402,0.5,0.00423117751240284,0.37500000000000006,0.004156960902783994,False,25.200000762939453,-0.4779999852180481,0.8700000047683716,1.7238251953125,0.5817910034179687,10.568006127929687,0.016511598758491276,0.019174759848570515,-0.009853696033293181
1765759211.5616045,561604453,0.0002650123775377988,1.8921191382356012e-16,0.0,0.43062389828264713,-0.026718540597827203,0.5,0.004012777588982336,0.4500000000000001,0.004012777588982336,False,25.200000762939453,-0.4779999852180481,0.8700000047683716,2.4899697265625,0.33518823242187495,11.386823095703125,0.033289513625990474,0.04247741938676385,0.02170476288414579
1765759211.6254094,625409302,0.0013912517840090866,-1.8584460104517512e-07,-0.000267149574130498,0.43062389828264713,-0.026718540597827203,0.5,0.0037039301830580538,0.4500000000000001,0.004012777588982336,False,25.200000762939453,-0.4779999852180481,0.8700000047683716,2.4899697265625,0.33518823242187495,11.386823095703125,0.033289513625990474,0.04247741938676385,0.02170476288414579
