sec,nsec,x,y,yaw,v_real,w_real,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz
1765755090.7192328,719232880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,25.200000762939453,-0.2919999957084656,0.9200000166893005,0.9361328491210937,0.06703764648437499,9.60793126220703,0.018375811521546742,0.030626352535911235,-0.007989483270237714
1765755091.1063998,106399829,0.0,0.0,0.0,0.2650001421570778,0.05342832375918665,0.5,-0.003232505646275502,0.1,-0.0015279204447096655,False,25.200000762939453,-0.38999998569488525,0.9200000166893005,2.499546533203125,-0.07422025146484375,9.093177905273437,-0.002663161090079238,-0.12743225816029155,-0.00692421883420602
1765755091.1869488,186948591,0.0,0.0,0.0,0.30474963039159775,-0.05342832375918665,0.5,-0.0017961804906324597,0.3,-0.003232505646275502,False,25.200000762939453,-0.38999998569488525,0.9200000166893005,1.24498486328125,0.08379705810546874,10.302249743652343,0.047004793239898555,0.30013825485193013,-0.01038632825130903
1765755091.2194786,219478492,0.0,0.0,0.0,0.3180002495646477,-0.05342832375918665,0.5,-0.0017961804906324597,0.325,-0.0028807519243852866,False,25.200000762939453,-0.38999998569488525,0.9200000166893005,1.4341267944335936,-0.32082302246093747,8.319850769042969,-0.0027963191445832,-0.020506340393610132,-0.016511598758491276
1765755091.6731186,673118504,0.0,0.0,0.0,0.3511248230934143,0.026711773487829393,0.5,-0.001438936236076151,0.35000000000000003,-0.0017961804906324597,False,25.200000762939453,-0.38999998569488525,0.9200000166893005,2.403778466796875,-0.25139117431640623,10.40041201171875,0.021172130666129944,-0.024767398137736915,-0.007989483270237714
1765755092.005753,5752821,0.032131228631873995,3.90327049387758e-05,0.00186996740585689,0.5299994945526123,0.053423546975658785,0.5,7.304677074953676e-05,0.5,0.001182641119594619,False,25.200000762939453,-0.609000027179718,0.9200000166893005,2.2026655273437497,0.48123453369140623,9.390058911132812,0.028495823663847848,0.0005326322180158476,-0.006524744670694133
1765755092.0362802,36280133,0.13090987450477448,0.00017430608203702121,0.0010685664512995365,0.4836246967315674,0.1335716055285546,0.5,7.304677074953676e-05,0.5,0.001182641119594619,False,25.200000762939453,-0.609000027179718,0.9200000166893005,2.2026655273437497,0.48123453369140623,9.390058911132812,0.028495823663847848,0.0005326322180158476,-0.006524744670694133
1765755092.3212101,321210073,0.13090987450477448,0.00017430608203702121,0.0010685664512995365,0.49687373638153076,0.1335716055285546,0.5,0.27801428207880396,0.5,0.26648457746202486,False,25.200000762939453,-0.6269999742507935,0.9200000166893005,1.5562310791015623,0.18435352783203124,9.7683427734375,0.11624698158195874,-0.09054747706269409,0.1320927900679302
1765755092.4427736,442773485,0.13090987450477448,0.00017430608203702121,0.0010685664512995365,0.49687452614307404,0.2938518000225867,0.5,0.3837924066407083,0.5,0.3765867929816408,False,25.200000762939453,-0.421999990940094,0.9200000166893005,0.30885201416015623,0.814028564453125,9.342174877929686,0.08748484180910297,0.1185106685085261,0.3408846195301425
1765755092.4707148,470714602,0.3347264369339459,0.0005832674364197408,0.0006728090894403546,0.510125145316124,0.4007052630186081,0.5,0.4138708570777866,0.5,0.4026669001207856,False,25.200000762939453,-0.421999990940094,0.9200000166893005,0.04548983154296875,1.3383587280273437,8.595183959960938,-0.013715279613908078,0.04687163518539458,0.3418167259116702
1765755092.529692,529691808,0.3451868186600062,0.0006916444198757261,0.0016056322134686087,0.49025010503828526,0.3205639715757101,0.5,0.4170761284532021,0.5,0.40736567727894013,False,25.200000762939453,-0.421999990940094,0.9200000166893005,1.4030021728515625,-0.6584054565429687,9.679757312011718,-0.01038632825130903,-0.021305288720633905,0.3568635860706179
1765755092.6828413,682841104,0.3451868186600062,0.0006916444198757261,0.0016056322134686087,0.5101247504353523,0.40070685527978406,0.5,0.42087595909589665,0.5,0.4170761284532021,False,25.200000762939453,-0.39800000190734863,0.9200000166893005,0.6512228515624999,0.39983167724609375,10.369287390136718,0.0464721610218827,-0.0604537567447987,0.3906857319146242
1765755092.9708095,970809301,0.4526143702887217,0.0023193284782661236,0.018864672829674686,0.5035000331699848,0.42741942489820145,0.5,0.4419459718509488,0.5,0.4225768220303674,False,25.200000762939453,-0.39800000190734863,0.9200000166893005,1.3718775512695311,0.47165772705078124,10.800243688964843,0.05885586009075116,-0.045939528803866855,0.4113252303627383
1765755093.1590521,159051996,0.6890494318569329,0.021125318100291095,0.1524869904113545,0.493562463670969,0.38734858014410545,0.5,0.42662123736739854,0.5,0.4326622859603596,False,25.200000762939453,-0.4090000092983246,0.9200000166893005,1.678335363769531,-0.5051765502929687,10.184933862304687,-0.03568635860706179,0.018508969576050704,0.4327636771378762
1765755093.5816808,581680764,0.6890494318569329,0.021125318100291095,0.1524869904113545,0.510125145316124,0.2938518000225867,0.5,0.35677134128464016,0.5,0.37381281790447995,False,25.200000762939453,-0.4090000092983246,0.9200000166893005,1.678335363769531,-0.5051765502929687,10.184933862304687,-0.03568635860706179,0.018508969576050704,0.4327636771378762
1765755093.7763214,776321314,0.8788354951556984,0.061691506218485126,0.2900248936523723,0.510125145316124,0.2938518000225867,0.5,0.35677134128464016,0.5,0.37381281790447995,False,25.200000762939453,-0.35199999809265137,0.9200000166893005,1.678335363769531,-0.5051765502929687,10.184933862304687,-0.03568635860706179,0.018508969576050704,0.4327636771378762
1765755093.7934334,793433257,1.0026850147046131,0.10495075252002448,0.41477333770515556,0.503499835729599,0.2671368420124054,0.5,0.227671048181453,0.5,0.24137388832242285,False,25.200000762939453,-0.35199999809265137,0.9200000166893005,1.4317325927734375,0.13168109130859373,9.579200842285156,0.061652179235334365,0.03129214280843105,0.24234765919721066
1765755093.841081,841080868,1.0026850147046131,0.10495075252002448,0.41477333770515556,0.5035000331699848,0.26713763814299335,0.5,0.227671048181453,0.5,0.227671048181453,False,25.200000762939453,-0.35199999809265137,0.9200000166893005,1.4245499877929686,0.5434837768554687,9.672574707031249,0.03222424918995878,0.027963191445832,0.22303974129413617
1765755093.8792605,879260305,1.0284184927281406,0.11653807607188647,0.43995263981731997,0.5113538431275506,0.23546904960442164,0.5,0.22208139216641348,0.5,0.22208139216641348,False,25.200000762939453,-0.38499999046325684,0.9200000166893005,0.82360537109375,0.33758243408203126,8.810662109374999,0.02330265953819333,0.03648530693408556,0.2125202549883232
1765755094.000197,196945,1.037072968355454,0.12062422219827171,0.4483483580381755,0.4968751184642315,0.24042427239398803,0.5,0.21344354835951684,0.5,0.22208139216641348,False,25.200000762939453,-0.38499999046325684,0.9200000166893005,1.13006318359375,0.5865794067382812,9.600748657226562,-0.0005326322180158476,0.01038632825130903,0.2151834160784024
1765755094.0488625,48862510,1.0949586396797595,0.15042134398128723,0.5033684742636209,0.4968749210238457,0.24042347626340005,0.5,0.13768676990251735,0.5,0.15578597259136123,False,25.200000762939453,-0.38499999046325684,0.9200000166893005,1.6927005737304686,0.33518823242187495,9.354145886230468,0.03222424918995878,0.01731054708551505,0.18508969576050704
1765755094.1017888,101788749,1.1152724817777628,0.16190517990154246,0.5210640735197379,0.5101235657930374,0.13357479005090653,0.5,0.11040404723963557,0.5,0.15578597259136123,False,25.200000762939453,-0.38499999046325684,0.9200000166893005,0.7900865478515624,-0.29927520751953124,9.351751684570312,0.011451592687340723,0.01944107595757844,0.17523599972721388
1765755094.129213,129213022,1.1351922694760035,0.17371591539174838,0.5388762237849867,0.503499835729599,0.2137132950367466,0.5,0.11040404723963557,0.5,0.11040404723963557,False,25.200000762939453,-0.3700000047683716,0.9200000166893005,0.5817910034179687,0.43574470214843747,9.143456140136719,0.1380849025206085,-0.04034689051470046,0.19108180821318532
