sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
1772473258,728586213,0.100474,-0.544264,3.139093,-1.385982,-0.431652,-1.255362,1,0.000000,0.000000,0.241897,0.560000,0.239151,0.580000,0.239151,0.580000,0.000000,0.000000,-0.212667,0.115269,-0.205333,0.122603,-0.205333,0.122603,0,7.786451,-0.205333,-0.220000,0.122603,0.107936,0.580000,0.540000,0.311127,0.220000,1.262415,1
1772473258,753631212,0.099770,-0.545820,3.139338,-1.384284,-0.431834,-1.255118,1,0.000000,0.000000,0.239151,0.580000,0.236828,0.600000,0.236828,0.600000,0.000000,0.000000,-0.205333,0.122603,-0.198000,0.129936,-0.198000,0.129936,0,7.789438,-0.198000,-0.212667,0.129936,0.115269,0.600000,0.560000,0.311127,0.220000,1.262171,1
1772473258,778634375,0.101366,-0.545804,3.139159,-1.384798,-0.430324,-1.255296,1,0.000000,0.000000,0.236828,0.600000,0.234940,0.600000,0.234940,0.600000,0.000000,0.000000,-0.198000,0.129936,-0.190667,0.137269,-0.190667,0.137269,0,7.756978,-0.190667,-0.205333,0.137269,0.122603,0.600000,0.580000,0.311127,0.220000,1.262349,1
1772473258,828638866,0.100740,-0.546595,3.134916,-1.383851,-0.430671,-1.259539,1,0.000000,0.000000,0.234940,0.600000,0.233497,0.600000,0.233497,0.600000,0.000000,0.000000,-0.190667,0.137269,-0.183333,0.144603,-0.183333,0.144603,0,7.784717,-0.183333,-0.198000,0.144603,0.129936,0.600000,0.580000,0.311127,0.220000,1.266592,1
1772473258,853603729,0.102269,-0.546248,3.130040,-1.384658,-0.429327,-1.264416,1,0.000000,0.000000,0.233497,0.600000,0.232509,0.600000,0.232509,0.600000,0.000000,0.000000,-0.183333,0.144603,-0.176000,0.151936,-0.176000,0.151936,0,7.778031,-0.176000,-0.190667,0.151936,0.137269,0.600000,0.580000,0.311127,0.220000,1.271469,1
1772473258,878646423,0.103519,-0.547384,3.123127,-1.383971,-0.427785,-1.271328,1,0.000000,0.000000,0.232509,0.600000,0.231981,0.600000,0.231981,0.600000,0.000000,0.000000,-0.176000,0.151936,-0.168667,0.159269,-0.168667,0.159269,0,7.776603,-0.168667,-0.183333,0.159269,0.144603,0.600000,0.580000,0.311127,0.220000,1.278381,1
1772473258,928739307,0.108606,-0.552806,3.103245,-1.380410,-0.421257,-1.291210,1,0.000000,0.000000,0.231981,0.600000,0.231916,0.600000,0.231916,0.600000,0.000000,0.000000,-0.168667,0.159269,-0.161333,0.166603,-0.161333,0.166603,0,7.725359,-0.161333,-0.176000,0.166603,0.151936,0.600000,0.580000,0.311127,0.220000,1.298264,1
1772473258,953795544,0.111737,-0.554033,3.093176,-1.380224,-0.417900,-1.301280,1,0.000000,0.000000,0.231916,0.600000,0.232314,0.600000,0.232314,0.600000,0.000000,0.000000,-0.161333,0.166603,-0.154000,0.173936,-0.154000,0.173936,0,7.697241,-0.154000,-0.168667,0.173936,0.159269,0.600000,0.580000,0.311127,0.220000,1.308333,1
1772473258,978927470,0.115604,-0.556632,3.084895,-1.378964,-0.413415,-1.309560,1,0.000000,0.000000,0.232314,0.600000,0.233173,0.600000,0.233173,0.600000,0.000000,0.000000,-0.154000,0.173936,-0.146667,0.181269,-0.146667,0.181269,0,7.633312,-0.146667,-0.161333,0.181269,0.166603,0.600000,0.580000,0.311127,0.220000,1.316613,1
1772473259,29099740,0.123625,-0.564495,3.074629,-1.374002,-0.403338,-1.319827,1,0.000000,0.000000,0.233173,0.600000,0.234488,0.600000,0.234488,0.600000,0.000000,0.000000,-0.146667,0.181269,-0.139333,0.188603,-0.139333,0.188603,0,7.438938,-0.139333,-0.154000,0.188603,0.173936,0.600000,0.580000,0.311127,0.220000,1.326880,1
