sec,nsec,x,y,yaw,v_real,w_real,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz
1765756013.2424383,242438167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,25.200000762939453,-0.29100000858306885,0.9100000262260437,0.8044517578125,0.0430956298828125,9.210493786621093,0.0066579027251980945,-0.014114753777419962,0.0035952674716069714
1765756013.5419736,541973435,0.0,0.0,0.0,0.0,0.0,0.19692712266314644,-0.000300841475518112,0.1,-0.000300841475518112,False,25.200000762939453,-0.2879999876022339,0.9100000262260437,0.7158662963867187,0.1005564697265625,9.222464794921875,0.021038972611625982,0.00905474770626941,-0.0015978966540475428
1765756013.7006834,700683273,0.0,0.0,0.0,0.1722501516342163,0.0,0.3469271226631464,-0.0011447351037128294,0.22499999999999998,-0.0005777022869353977,False,25.200000762939453,-0.29600000381469727,0.9100000262260437,0.229843359375,0.3495534423828125,10.103531005859374,0.028229507554839925,0.028895297827359733,0.0003994741635118857
1765756014.2020855,202085481,0.019262905364777556,1.3344151721803401e-05,0.00044411287361915855,0.5167504549026489,0.0,0.5,-0.0013872857551986174,0.325,-0.0031732869565208924,False,25.200000762939453,-0.6100000143051147,0.9100000262260437,1.216254443359375,0.02154781494140625,7.723694555664062,0.008655273542757524,-0.14434333108229472,0.0005326322180158476
1765756014.6605134,660513199,0.019262905364777556,1.3344151721803401e-05,0.00044411287361915855,0.5167504549026489,0.0,0.5,-0.0013872857551986174,0.5,-0.0013872857551986174,False,25.200000762939453,-0.6100000143051147,0.9100000262260437,1.216254443359375,0.02154781494140625,7.723694555664062,0.008655273542757524,-0.14434333108229472,0.0005326322180158476
1765756014.7159367,715936546,0.019262905364777556,1.3344151721803401e-05,0.00044411287361915855,0.49687571078538895,0.18699037572068553,0.5,0.32013959415351523,0.5,0.3045239594878927,False,25.200000762939453,-0.14800000190734863,0.9100000262260437,0.08140285644531249,-0.6871358764648438,11.006145031738281,-0.020106866230098247,0.06737797557900473,0.1920139145947131
1765756014.737882,737881857,0.025783892768407726,0.00016838732919637647,-0.0002006828710473573,0.5034994408488274,0.21371170277557067,0.5,0.35611449736151896,0.5,0.3421258830583631,False,25.200000762939453,-0.14800000190734863,0.9100000262260437,0.5267243652343749,-0.04548983154296875,8.585607153320312,0.06591323697946114,-0.1234375165251727,0.21172130666129943
1765756014.8515553,851555211,0.19925056388290455,0.00043429612313798443,-0.0021875451642195346,0.49687452614307404,0.34728171604294933,0.5,0.4008698434481078,0.5,0.3421258830583631,False,25.200000762939453,-0.14800000190734863,0.9100000262260437,1.6041151123046875,-0.00718260498046875,8.992621435546875,0.03342267168049444,-0.13089436757739456,0.31451932473835803
1765756014.9753945,975394246,0.3209783763822266,-6.543872490145236e-05,-0.004486313930757049,0.5034990459680557,0.3739934895307787,0.5,0.4008698434481078,0.5,0.3917817072451467,False,25.200000762939453,-0.5040000081062317,0.9100000262260437,1.3862427612304686,0.4165910888671875,9.969455712890625,0.03568635860706179,-0.07310377192267509,0.35459989914405055
1765756015.0156791,15679007,0.3209783763822266,-6.543872490145236e-05,-0.004486313930757049,0.503499835729599,0.4274202210287894,0.5,0.4399793372202113,0.5,0.4335352514385339,False,25.200000762939453,-0.5040000081062317,0.9100000262260437,1.5586252807617187,-0.0718260498046875,9.842563024902343,0.02250371121116956,0.0003994741635118857,0.33795514233105534
