Method,Constraint Violation Rate [%],Mean Position Error [m],Max Position Error [m],Mean Heading Error [deg],Travel Time [s]
DWPP for Diff-drive,0.0000,0.0129,0.0403,14.5873,17.0769
VP for Omni (min L),100.0000,0.0216,0.1212,24.3623,12.2967
VP for Omni (max L),100.0000,0.0495,0.1725,16.1407,10.2959
DWVP for Omni,0.0000,0.0111,0.0443,11.6489,15.0404
