sec,nsec,x,y,yaw,v_cmd,w_cmd,battery_v,battery_i,battery_percent,v_real,w_real,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,v_nav,w_nav,velocity_violation
1765740504.1480858,148085760.0,0.0,0.0,0.0,0.05,0.0,25.200000762939453,-0.0,nan,0.0,0.0,0.9816226806640624,-0.15322890625,9.725247143554688,0.02530003035575276,0.02330265953819333,-0.0033289513625990473,0.025,0.0,False
1765740504.2148917,214891520.0,0.0,0.0,0.0,0.05,0.0,25.200000762939453,-0.0,nan,0.0,0.0,0.9816226806640624,-0.15322890625,9.725247143554688,0.02530003035575276,0.02330265953819333,-0.0033289513625990473,0.025,0.0,False
1765740504.255432,255431680.0,0.0,0.0,0.0,0.09999999999999999,-0.0003206021171967243,25.200000762939453,-0.0,nan,-0.006626099348068237,-0.080141689508192,0.7062894897460937,-0.201112939453125,9.469067565917967,-0.019041601794066554,-0.14314490859175905,0.017177389031011087,0.07500000000000001,-0.00017807847746631407,False
1765740504.2926576,292657408.0,0.0,-8.881784197001252e-16,0.0,0.11666666666666665,-0.0012494946864865654,25.200000762939453,-0.0,nan,0.039748698472976685,6.369044703821982e-06,2.085349645996094,-0.469263525390625,10.005368737792969,-0.008788431597261486,-0.06764429168801264,0.0011984224905356572,0.09999999999999999,-0.0003206021171967243,False
1765740504.3279607,327960576.0,0.0,-8.881784197001252e-16,0.0,0.13333333333333333,-0.0012893165616557384,25.200000762939453,-0.0,nan,0.05300247669219971,0.0,1.675941162109375,0.36152445068359373,9.746794958496093,-0.00692421883420602,-0.04327636771378762,0.003994741635118857,0.125,-0.0012893165616557384,False
1765740504.3757575,375757312.0,0.0,-8.881784197001252e-16,0.0,0.16666666666666666,-0.0021610355315664774,25.200000762939453,-0.0,nan,0.06293688714504242,0.013359071266266608,1.7788918334960937,0.14125789794921875,9.294290844726563,0.004527373853134705,-0.1555286076606275,-0.010785802414820914,0.125,-0.0012893165616557384,False
1765740504.3899014,389901312.0,0.0,-8.881784197001252e-16,0.0,0.16666666666666666,-0.0021610355315664774,25.200000762939453,-0.0,nan,0.09274959564208984,0.053423546975658785,2.4061726684570313,-0.3232172241210937,10.254365710449218,0.0049268480166465905,0.009454221869781294,-0.008655273542757524,0.15,-0.0014554507028234698,False
1765740504.4405835,440583424.0,0.0,0.0,0.0,0.18333333333333332,-0.0019950034352226487,25.200000762939453,-0.0,nan,0.10600021481513977,-0.05342991602036261,1.1875240234375,0.28012159423828126,11.02529864501953,0.038482677751644996,-0.1111869755108082,-0.0010652644360316951,0.175,-0.0019950034352226487,False
1765740504.4481075,448107264.0,0.0,0.0,0.0,0.19999999999999998,-0.0017596274127662963,25.200000762939453,-0.0,nan,0.09274959564208984,0.0,2.291250988769531,0.0143652099609375,10.261548315429687,-0.01597896654047543,-0.05020058654799364,-0.006524744670694133,0.175,-0.0019950034352226487,False
1765740504.4916692,491668992.0,0.0,0.0,0.0,0.21666666666666665,-0.0021569525381966814,25.200000762939453,-0.0,nan,0.12587377429008484,-0.080141689508192,1.0031704956054688,-0.28490999755859375,11.06360587158203,0.0541953281831125,-0.05486111845563231,-0.011717908796348646,0.19999999999999998,-0.0017596274127662963,False
1765740504.5136178,513617664.0,0.0,0.0,0.0,0.2333333333333333,-0.002090691858015226,25.200000762939453,-0.0,nan,0.1722501516342163,0.0,2.370259643554687,-0.35673604736328124,7.862558251953125,-0.04500742242233912,-0.09760485395140409,0.0015978966540475428,0.22499999999999998,-0.002090691858015226,False
1765740504.5824392,582439168.0,0.0,0.0,0.0,0.24999999999999997,-0.0022604151787175533,25.200000762939453,-0.35499998927116394,nan,0.178874671459198,0.026711773487829393,2.0159177978515626,-0.32561142578124996,9.9981861328125,0.019973708175594285,0.0961401153518605,0.01597896654047543,0.22499999999999998,-0.002090691858015226,False
1765740504.6120567,612056576.0,0.0018986371021503246,3.886242184947264e-06,0.002671405449972274,0.2833333333333333,-0.002308272638767394,25.200000762939453,-0.35499998927116394,nan,0.19212529063224792,-0.026718142532533216,1.886630908203125,-0.0526724365234375,9.17458076171875,0.03275688140797463,0.1849565377060031,0.003062635253591124,0.27499999999999997,-0.002308272638767394,False
1765740504.664122,664122112.0,0.002583745796975734,5.654493405948813e-06,0.002404186941060914,0.31666666666666665,-0.002663719999555795,25.200000762939453,-0.35499998927116394,nan,0.2318739891052246,-0.026711773487829393,1.8267758666992187,-0.0909796630859375,8.12113203125,0.013049489341388266,-0.09094695122620598,0.0018642127630554665,0.27499999999999997,-0.002308272638767394,False
1765740504.708036,708035840.0,0.002828105534652181,6.241993256494993e-06,0.0024042037208223542,0.31666666666666665,-0.002663719999555795,25.200000762939453,-0.35499998927116394,nan,0.21862494945526123,-0.026711773487829393,1.5107412475585937,0.1149216796875,10.36210478515625,0.03795004553362914,-0.07137271721412358,-0.001731054708551505,0.3,-0.0024714161568247495,False
1765740504.7119524,711952384.0,0.002828105534652181,6.241993256494993e-06,0.0024042037208223542,0.3333333333333333,-0.003214463965995901,25.200000762939453,-0.35499998927116394,nan,0.2517491281032562,-0.05342991602036261,2.0446482177734375,-0.28969840087890625,10.01733974609375,-0.014114753777419962,-0.09028116095368617,0.009454221869781294,0.325,-0.003214463965995901,False
1765740504.7707229,770722816.0,0.01046746459964254,2.6670845780785157e-05,0.0026714320508598823,0.35,-0.003046104234332814,25.200000762939453,-0.35499998927116394,nan,0.27824878692626953,-0.053423546975658785,0.27293898925781246,0.09816226806640624,10.479420666503906,0.008655273542757524,0.07470166857672263,-0.0002663161090079238,0.325,-0.003214463965995901,False
1765740504.7787285,778728448.0,0.01245495747799108,3.1201568429395365e-05,0.002137132902598903,0.36666666666666664,-0.002436684519381579,25.200000762939453,-0.35499998927116394,nan,0.30806228518486023,0.013355886743914696,1.8243816650390623,-0.316034619140625,11.291055029296874,0.03568635860706179,-0.07723167161229791,-0.008122641324741676,0.35,-0.003046104234332814,False
1765740504.837278,837277696.0,0.013382451295586684,3.3183749002851926e-05,0.002137132902598903,0.3833333333333333,-0.0034323280458329157,25.200000762939453,-0.9350000023841858,nan,0.3511248230934143,0.026711773487829393,0.43574470214843747,0.1867477294921875,11.049240661621093,0.052064799311049105,0.09480853480682089,-0.017710021249026934,0.375,-0.0034323280458329157,False
1765740504.8467321,846732032.0,0.013382451295586684,3.3183749002851926e-05,0.002137132902598903,0.39999999999999997,-0.0027754895397800786,25.200000762939453,-0.9350000023841858,nan,0.3378742039203644,-0.080141689508192,2.91134921875,0.023942016601562498,7.948749511718749,0.019041601794066554,0.16085492984078598,-0.008522115488253561,0.375,-0.0034323280458329157,False
1765740505.0262125,26212352.0,0.018547358934171143,4.5884664992001944e-05,0.0019178723426412896,0.41666666666666663,-0.001590041359719498,25.200000762939453,-0.9350000023841858,nan,0.3378742039203644,-0.080141689508192,1.9680337646484374,-0.086191259765625,7.105990527343749,-0.033156355571486516,-0.10958907885676065,0.0023968449810713144,0.39999999999999997,-0.0027754895397800786,False
1765740505.047202,47202048.0,0.044900560846214965,9.877874761254901e-05,0.0016047720175917555,0.49999999999999994,0.0,25.200000762939453,-1.194000005722046,nan,0.45712582767009735,-0.026714958010181304,2.272097375488281,0.354341845703125,8.836998327636719,0.06404902421640568,0.15539544960612356,-0.0029294771990871615,0.475,0.0,False
1765740505.080669,80668928.0,0.05892918113131884,0.0001266158661108463,0.002128677189840034,0.5,-0.0012960242325304814,25.200000762939453,-1.194000005722046,nan,0.4836246967315674,-0.026711773487829393,1.70467158203125,-0.00718260498046875,8.262389929199218,0.00692421883420602,-0.094409060643309,0.0009321063815277333,0.49999999999999994,0.0,False
1765740505.1254723,125472256.0,0.06161234376911473,0.0001316554741697118,0.0016028337452904798,0.5,0.0,25.200000762939453,-1.194000005722046,nan,0.4968761056661606,-0.026714958010181304,1.2593500732421874,-0.00718260498046875,11.01332763671875,0.009853696033293181,-0.006391586616190171,0.0,0.5,0.0,False
1765740505.1581886,158188544.0,0.0728085830675047,0.00015291948828277668,0.0018699514741980423,0.5,0.0,25.200000762939453,-1.194000005722046,nan,0.48362548649311066,0.026714958010181304,1.656787548828125,-0.031124621582031248,9.540893615722656,0.022770027320177483,0.04633900296737874,-0.003994741635118857,0.5,0.0,False
1765740505.2067547,206754560.0,0.08493232095946812,0.00017356426379766532,0.0016028337452904243,0.5,0.0,25.200000762939453,-1.194000005722046,nan,0.4968753159046173,0.080141689508192,1.618480322265625,0.033518823242187495,9.93354268798828,0.0972053797878922,-0.05339637985608872,-0.006391586616190171,0.5,0.0,False
