path,PP,APP,RPP,DWPP
PathA,0.10604247843245655,0.11110979880985201,0.09982265484278698,0.09707254966346576
PathB,0.23951817955943455,0.19009615705136867,0.14897257848955767,0.11588349056621641
PathC,0.737620087563558,0.5975178136313982,0.2272135184712622,0.13183023481217224
